province,ID,year,quarter,pop_dens,literacy,in_migration,pop,urban_rural_ratio,cases,incidence,diff
ca mau,77,2011,4,227.48,95.7,4.2,1204500,0.275548024992058,277,22.9970942299709,0.0413533834586465
ca mau,77,2015,3,226.54,95.6,0.5,1199500,0.284918594687232,372,31.0129220508545,0.107142857142857
ca mau,77,2014,4,226.77,96,2.8,1200740,0.282488651535381,263,21.9031597181738,-0.302387267904509
ca mau,77,2011,1,227.48,95.7,4.2,1204500,0.275548024992058,280,23.2461602324616,0
ca mau,77,2012,3,227.29,96,2.4,1203460,0.277829687831811,322,26.7561863294168,0.0222222222222223
ca mau,77,2012,1,227.29,96,2.4,1203460,0.277829687831811,300,24.9281239093946,0.0839684205366705
ca mau,77,2011,3,227.48,95.7,4.2,1204500,0.275548024992058,266,22.0838522208385,-0.189024390243902
ca mau,77,2012,4,227.29,96,2.4,1203460,0.277829687831811,281,23.3493427284663,-0.127329192546584
ca mau,77,2011,2,227.48,95.7,4.2,1204500,0.275548024992058,328,27.2312162723122,0.171428571428572
can tho,48,2011,4,848.78,95.1,6.9,1195930,1.99869615365328,424,35.4535800590336,-0.0535714285714287
can tho,48,2015,2,857.76,94.2,3.1,1208500,2.14386056191467,493,40.7943731899048,0.193704600484262
can tho,48,2012,3,852.33,95.4,8.9,1200930,2.03341752967921,454,37.8040352060486,-0.0194384449244061
can tho,48,2012,1,852.33,95.4,8.9,1200930,2.03341752967921,436,36.3051968058088,0.0240206135842207
can tho,48,2014,1,855.79,94.2,8.2,1205720,2.1060047914681,447,37.073284012872,0.117987155960099
can tho,48,2012,4,852.33,95.4,8.9,1200930,2.03341752967921,425,35.3892400056623,-0.0638766519823788
can tho,48,2015,3,857.76,94.2,3.1,1208500,2.14386056191467,437,36.1605295821266,-0.113590263691684
can tho,48,2015,4,857.76,94.2,3.1,1208500,2.14386056191467,410,33.9263549855192,-0.0617848970251715
can tho,48,2011,1,848.78,95.1,6.9,1195930,1.99869615365328,425,35.537196993135,0
can tho,48,2013,2,853.96,94.5,9.6,1203230,2.06915110702989,485,40.3081705077167,0.102272727272727
can tho,48,2014,4,855.79,94.2,8.2,1205720,2.1060047914681,424,35.1657101151179,-0.103594080338266
can tho,48,2015,1,857.76,94.2,3.1,1208500,2.14386056191467,413,34.1745966073645,-0.0281840891171811
